name,team_code,conf_code
Akron,5,875
Alabama,8,911
UAB,9,24312
Arizona State,28,905
Arizona,29,905
Arkansas State,30,818
Arkansas,31,911
Auburn,37,911
Ball State,47,875
Baylor,51,25354
Boise State,66,923
Boston College,67,821
Bowling Green,71,875
BYU,77,5486
Buffalo,86,875
Fresno State,96,923
California,107,905
UCLA,110,905
UCF,128,24312
Central Michigan,129,875
Cincinnati,140,823
Clemson,147,821
Colorado State,156,5486
Colorado,157,25354
Connecticut,164,823
Duke,193,821
East Carolina,196,24312
Eastern Michigan,204,875
Florida Atlantic,229,818
FAU,229,818
Florida International,231,818
Florida State,234,821
Florida,235,911
Georgia Tech,255,821
Georgia,257,911
Hawai'i,277,923
Houston,288,24312
Idaho,295,923
Illinois,301,827
Indiana,306,827
Iowa State,311,25354
Iowa,312,827
Kansas State,327,25354
Kansas,328,25354
Kent State,331,875
Kentucky,334,911
LSU,365,911
Louisiana Tech,366,923
Louisville,367,823
Marshall,388,24312
Maryland,392,821
Memphis,404,24312
Miami (Ohio),414,875
Miami (Florida),415,821
Michigan State,416,827
Michigan,418,827
Middle Tennessee,419,818
Minnesota,428,827
Mississippi State,430,911
Mississippi,433,911
Missouri,434,25354
North Carolina,457,821
Nebraska,463,25354
UNLV,465,5486
Nevada,466,923
New Mexico State,472,923
New Mexico,473,5486
North Carolina State,490,821
North Texas,497,818
Louisiana-Monroe,498,818
ULM,498,818
Northern Illinois,503,875
Northwestern,509,827
Notre Dame,513,99001
Ohio State,518,827
Ohio,519,875
Oklahoma State,521,25354
Oklahoma,522,25354
Oregon State,528,905
Oregon,529,905
Penn State,539,827
Pittsburgh,545,823
Purdue,559,827
Rice,574,24312
Rutgers,587,823
San Diego State,626,5486
San Jose State,630,923
South Carolina,648,911
South Florida,651,823
USC,657,905
SMU,663,24312
Southern Mississippi,664,24312
Louisiana-Lafayette,671,818
Stanford,674,905
Syracuse,688,823
Temple,690,99001
Tennessee,694,911
Texas A&M,697,25354
TCU,698,5486
Texas Tech,700,25354
Texas,703,25354
UTEP,704,24312
Toledo,709,875
Troy,716,818
Tulane,718,24312
Tulsa,719,24312
Air Force,721,5486
Army,725,99001
Navy,726,99001
Utah State,731,923
Utah,732,5486
Vanderbilt,736,911
Virginia Tech,742,821
Virginia,746,821
Wake Forest,749,821
Washington State,754,905
Washington,756,905
West Virginia,768,823
Western Michigan,774,875
Wisconsin,796,827
Wyoming,811,5486
Alabama A&M,6,916
Alabama St.,7,916
Albany (N.Y.),14,846
Alcorn St.,17,916
Appalachian State,27,912
Austin Peay,43,21451
Charleston So.,48,826
CSU,48,826
Bethune-Cookman,61,876
Brown,80,865
Bucknell,83,838
Butler,87,21451
Cal Poly,90,99005
Sacramento State,102,825
UC Davis,108,99005
Central Conn. St.,127,846
Citadel,141,912
Coastal Carolina,149,826
Colgate,153,838
Columbia,158,865
Cornell,167,865
Dartmouth,172,865
Davidson,173,21451
Dayton,175,21451
Delaware State,178,876
Delaware,180,820
Drake,189,21451
Duquesne,194,871
Eastern Illinois,201,902
Eastern Kentucky,202,902
Eastern Washington,207,825
Florida A&M,228,876
Fordham,236,838
Furman,244,912
Georgetown,251,838
Georgia Southern,253,912
Grambling,261,916
Hampton,270,876
Harvard,275,865
Hofstra,283,820
Holy Cross,285,838
Howard,290,876
Idaho State,294,825
Illinois State,299,853
Indiana State,305,853
Iona,310,871
Jackson State,314,916
Jacksonville State,315,902
Jacksonville,316,21451
James Madison,317,820
La Salle,340,871
Lafayette,342,838
Lehigh,352,838
Liberty,355,826
Maine,380,820
Marist,386,871
Massachusetts,400,820
McNeese State,402,914
Mississippi Valley State,432,916
Monmouth,439,846
Montana State,440,825
Montana,441,825
Morehead State,444,21451
Morgan State,446,876
Murray State,454,902
New Hampshire,469,820
Nicholls State,483,914
Norfolk State,485,876
North Carolina A&T,488,876
North Dakota State,493,99005
Northeastern,500,820
Northern Arizona,501,825
Northern Colorado,502,99005
Northern Iowa,504,853
Northwestern State,508,914
Pennsylvania,540,865
Portland State,550,825
Prairie View A&M,553,916
Princeton,554,865
Rhode Island,572,820
Richmond,575,820
Robert Morris,579,846
Sacred Heart,590,846
St. Francis (Pa.),600,846
St. Peter's,617,871
Sam Houston State,624,914
Samford,625,902
San Diego,627,21451
Savannah State,632,99005
South Carolina State,647,876
South Dakota State,649,99005
Southeast Missouri State,654,902
Southeastern Louisiana,655,914
Southern Illinois,659,853
Southern University,665,916
Southern Utah,667,99005
Missouri State,669,853
Texas State,670,914
Stephen F. Austin,676,914
Stony Brook,683,846
Tennessee State,691,902
Tennessee Tech,692,902
Chattanooga,693,912
Tennessee-Martin,695,902
Texas Southern,699,916
Towson,711,820
Valparaiso,735,21451
Villanova,739,820
Virginia Military,741,826
Wagner,748,846
Weber State,758,825
Western Carolina,769,912
Western Illinois,771,853
Western Kentucky,772,853
William & Mary,786,820
Yale,813,865
Youngstown State,817,853
Elon,1068,912
Gardner-Webb,1092,826
Arkansas-Pine Bluff,2678,916
Wofford,2915,912